Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,JobRole,MonthlyIncome,WorkLifeBalance,YearsAtCompany
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,Sales Representative,2086,4,1
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,Research Scientist,2293,2,2
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,Research Scientist,2645,2,5
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,Sales Representative,2683,3,3
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,Sales Representative,2014,3,2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,Research Scientist,3419,4,1
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,Sales Executive,5376,3,5
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,Laboratory Technician,1951,3,1
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,Laboratory Technician,2341,3,1
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,Laboratory Technician,2293,2,1
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,Sales Executive,8726,3,9
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,Laboratory Technician,4011,3,12
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,Research Director,19545,3,22
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,Sales Executive,4568,3,9
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,Research Scientist,3022,3,1
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,Sales Executive,5772,3,9
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,Laboratory Technician,2269,3,1
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,Laboratory Technician,5381,3,1
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,Laboratory Technician,3441,2,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,Sales Executive,5454,2,4
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,Healthcare Representative,9884,3,4
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,Sales Executive,4157,2,2
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,Research Director,13458,3,15
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,Sales Executive,9069,2,9
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,Laboratory Technician,4014,3,2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,Laboratory Technician,5915,2,7
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,Manufacturing Director,5993,4,7
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,Manufacturing Director,6162,3,9
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,Laboratory Technician,2406,3,10
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,Research Director,18740,2,27
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,Sales Executive,7637,2,21
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,Healthcare Representative,10096,3,17
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,Manager,14756,3,5
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,Manufacturing Director,6499,3,6
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,Research Scientist,9724,3,1
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,Research Scientist,2194,2,3
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,Research Scientist,3388,2,1
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,Sales Executive,5473,2,4
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,Research Scientist,2703,3,5
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,Research Scientist,2501,3,1
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,Research Scientist,6220,3,10
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,Laboratory Technician,3038,3,1
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,Manufacturing Director,4424,3,11
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,Sales Executive,4312,3,15
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,Research Director,13245,4,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,Research Director,13664,4,5
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,Human Resources,5021,3,4
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,Laboratory Technician,5126,2,10
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,Research Scientist,2859,3,6
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,Sales Executive,10239,3,1
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,Research Scientist,5329,3,13
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,Manufacturing Director,4325,3,5
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,Manufacturing Director,7260,2,6
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,Sales Representative,2322,3,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,Laboratory Technician,2075,3,4
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,Healthcare Representative,4152,3,11
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,Sales Executive,9619,3,9
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,Healthcare Representative,13503,2,22
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,Sales Executive,5441,1,10
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,Sales Executive,5209,2,11
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,Healthcare Representative,10673,2,10
32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,Sales Executive,5010,3,11
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,Research Director,13549,1,4
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,Sales Executive,4999,2,3
28,No,Non-Travel,120,Sales,4,3,Medical,1,129,Sales Executive,4221,4,5
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,Sales Executive,13872,2,37
44,No,Non-Travel,489,Research & Development,23,3,Medical,1,132,Laboratory Technician,2042,4,3
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,Human Resources,2073,3,3
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,Research Scientist,2956,3,1
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,Laboratory Technician,2926,3,1
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,Research Scientist,4809,3,16
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,Healthcare Representative,5163,4,1
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140,Manager,18844,3,3
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,Research Director,18172,2,8
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,Sales Executive,5744,3,6
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,Research Scientist,2889,3,2
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,Laboratory Technician,2871,3,0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,Healthcare Representative,7484,2,13
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147,Laboratory Technician,6074,3,9
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,Manager,17328,3,5
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,Laboratory Technician,2774,3,5
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151,Research Scientist,4505,3,1
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,Sales Executive,7428,3,5
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153,Manager,11631,3,11
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,154,Sales Executive,9738,3,9
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,155,Laboratory Technician,2835,3,1
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,1,158,Manager,16959,4,25
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,159,Research Scientist,2613,2,10
33,No,Non-Travel,750,Sales,22,2,Marketing,1,160,Sales Executive,6146,4,7
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,161,Research Scientist,4963,3,5
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162,Research Director,19537,3,20
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,1,163,Sales Executive,6172,2,7
26,No,Travel_Rarely,841,Research & Development,6,3,Other,1,164,Research Scientist,2368,2,5
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,165,Healthcare Representative,10312,2,40
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,1,167,Sales Representative,1675,2,0
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169,Laboratory Technician,2523,3,2
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,1,170,Manufacturing Director,6567,2,15
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,1,171,Research Scientist,4739,3,3
50,No,Travel_Frequently,809,Sales,12,3,Marketing,1,174,Sales Executive,9208,3,2
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,1,175,Sales Executive,4559,3,2
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,1,176,Sales Executive,8189,3,9
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,1,177,Human Resources,2942,3,8
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,1,178,Manufacturing Director,4941,3,3
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,179,Manufacturing Director,10650,3,4
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,182,Sales Executive,5902,4,15
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,Sales Executive,8639,3,2
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,184,Human Resources,6347,1,11
32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,1,190,Laboratory Technician,4200,4,5
45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,1,192,Research Scientist,3452,2,6
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,1,193,Research Scientist,4317,3,3
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,194,Research Scientist,2632,2,5
32,No,Travel_Frequently,689,Sales,9,2,Medical,1,195,Sales Executive,4668,4,8
30,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,1,197,Research Scientist,3204,3,3
30,No,Travel_Rarely,1427,Research & Development,2,1,Medical,1,198,Laboratory Technician,2720,3,5
41,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,1,199,Manager,17181,2,7
41,No,Travel_Rarely,933,Research & Development,9,4,Life Sciences,1,200,Laboratory Technician,2238,3,5
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,1,201,Laboratory Technician,1483,3,1
40,No,Travel_Frequently,1395,Research & Development,26,3,Medical,1,202,Research Scientist,5605,3,20
35,No,Travel_Rarely,662,Sales,1,5,Marketing,1,204,Sales Executive,7295,3,10
53,No,Travel_Rarely,1436,Sales,6,2,Marketing,1,205,Sales Representative,2306,1,7
45,No,Travel_Rarely,194,Research & Development,9,3,Life Sciences,1,206,Laboratory Technician,2348,1,17
32,No,Travel_Frequently,967,Sales,8,3,Marketing,1,207,Sales Executive,8998,3,9
29,No,Non-Travel,1496,Research & Development,1,1,Technical Degree,1,208,Manufacturing Director,4319,3,10
51,No,Travel_Rarely,1169,Research & Development,7,4,Medical,1,211,Manufacturing Director,6132,3,1
58,No,Travel_Rarely,1145,Research & Development,9,3,Medical,1,214,Research Scientist,3346,2,1
40,No,Travel_Rarely,630,Sales,4,4,Marketing,1,215,Sales Executive,10855,2,12
34,No,Travel_Frequently,303,Sales,2,4,Marketing,1,216,Sales Representative,2231,3,4
22,No,Travel_Rarely,1256,Research & Development,19,1,Medical,1,217,Research Scientist,2323,3,2
27,No,Non-Travel,691,Research & Development,9,3,Medical,1,218,Research Scientist,2024,1,2
28,No,Travel_Rarely,440,Research & Development,21,3,Medical,1,221,Research Scientist,2713,1,5
57,No,Travel_Rarely,334,Research & Development,24,2,Life Sciences,1,223,Healthcare Representative,9439,1,5
27,No,Non-Travel,1450,Research & Development,3,3,Medical,1,224,Research Scientist,2566,2,1
50,No,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,1,226,Manager,19926,3,5
41,No,Travel_Rarely,465,Research & Development,14,3,Life Sciences,1,227,Research Scientist,2451,3,9
30,No,Travel_Rarely,1339,Sales,5,3,Life Sciences,1,228,Sales Executive,9419,3,10
38,No,Travel_Rarely,702,Sales,1,4,Life Sciences,1,230,Sales Executive,8686,4,8
32,No,Travel_Rarely,120,Research & Development,6,5,Life Sciences,1,231,Research Scientist,3038,3,5
27,No,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,1,233,Research Scientist,3058,2,5
19,Yes,Travel_Frequently,602,Sales,1,1,Technical Degree,1,235,Sales Representative,2325,4,0
36,No,Travel_Frequently,1480,Research & Development,3,2,Medical,1,238,Laboratory Technician,2088,2,8
30,No,Non-Travel,111,Research & Development,9,3,Medical,1,239,Laboratory Technician,3072,3,12
45,No,Travel_Rarely,1268,Sales,4,2,Life Sciences,1,240,Sales Executive,5006,4,5
56,No,Travel_Rarely,713,Research & Development,8,3,Life Sciences,1,241,Research Scientist,4257,3,2
33,No,Travel_Rarely,134,Research & Development,2,3,Life Sciences,1,242,Research Scientist,2500,4,3
19,Yes,Travel_Rarely,303,Research & Development,2,3,Life Sciences,1,243,Laboratory Technician,1102,2,1
46,No,Travel_Rarely,526,Sales,1,2,Marketing,1,244,Sales Executive,10453,3,24
38,No,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,245,Laboratory Technician,2288,3,2
31,No,Travel_Rarely,140,Research & Development,12,1,Medical,1,246,Research Scientist,3929,3,4
34,No,Travel_Rarely,629,Research & Development,27,2,Medical,1,247,Research Scientist,2311,3,3
41,Yes,Travel_Rarely,1356,Sales,20,2,Marketing,1,248,Sales Representative,3140,2,4
50,No,Travel_Rarely,328,Research & Development,1,3,Medical,1,249,Laboratory Technician,3690,2,3
53,No,Travel_Rarely,1084,Research & Development,13,2,Medical,1,250,Manufacturing Director,4450,3,4
33,No,Travel_Rarely,931,Research & Development,14,3,Medical,1,252,Research Scientist,2756,3,8
40,No,Travel_Rarely,989,Research & Development,4,1,Medical,1,253,Manager,19033,3,20
55,No,Travel_Rarely,692,Research & Development,14,4,Medical,1,254,Research Director,18722,3,24
34,No,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,256,Manufacturing Director,9547,2,10
51,No,Travel_Rarely,313,Research & Development,3,3,Medical,1,258,Healthcare Representative,13734,3,7
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,259,Manager,19999,3,33
27,No,Travel_Rarely,894,Research & Development,9,3,Medical,1,260,Research Scientist,2279,2,7
35,Yes,Travel_Rarely,556,Research & Development,23,2,Life Sciences,1,261,Manufacturing Director,5916,3,1
43,No,Non-Travel,1344,Research & Development,7,3,Medical,1,262,Research Scientist,2089,4,5
45,No,Non-Travel,1195,Research & Development,2,2,Medical,1,264,Manager,16792,3,20
37,No,Travel_Rarely,290,Research & Development,21,3,Life Sciences,1,267,Research Scientist,3564,2,8
35,No,Travel_Frequently,138,Research & Development,2,3,Medical,1,269,Laboratory Technician,4425,3,6
42,No,Non-Travel,926,Research & Development,21,2,Medical,1,270,Manufacturing Director,5265,3,5
38,No,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,1,271,Manufacturing Director,6553,3,1
38,No,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,1,273,Manufacturing Director,6261,1,7
27,No,Travel_Frequently,472,Research & Development,1,1,Technical Degree,1,274,Manufacturing Director,4298,3,2
49,No,Non-Travel,1002,Research & Development,18,4,Life Sciences,1,275,Manufacturing Director,6804,3,7
34,No,Travel_Frequently,878,Research & Development,10,4,Medical,1,277,Research Scientist,3815,4,5
40,No,Travel_Rarely,905,Research & Development,19,2,Medical,1,281,Laboratory Technician,2741,4,7
38,Yes,Travel_Rarely,1180,Research & Development,29,1,Medical,1,282,Healthcare Representative,6673,3,1
29,Yes,Travel_Rarely,121,Sales,27,3,Marketing,1,283,Sales Executive,7639,2,10
22,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,1,284,Research Scientist,2328,2,4
36,No,Travel_Frequently,635,Research & Development,18,1,Medical,1,286,Laboratory Technician,2153,3,8
40,No,Non-Travel,1151,Research & Development,9,5,Life Sciences,1,287,Healthcare Representative,4876,1,3
46,No,Travel_Rarely,644,Research & Development,1,4,Medical,1,288,Healthcare Representative,9396,3,4
32,Yes,Travel_Rarely,1045,Sales,4,4,Medical,1,291,Sales Executive,10400,2,14
30,No,Non-Travel,829,Research & Development,1,1,Life Sciences,1,292,Manufacturing Director,8474,3,11
27,No,Travel_Frequently,1242,Sales,20,3,Life Sciences,1,293,Sales Executive,9981,3,7
51,No,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,1,296,Research Director,12490,1,10
30,Yes,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,1,297,Research Scientist,2657,3,5
41,No,Travel_Rarely,896,Sales,6,3,Life Sciences,1,298,Manager,13591,3,1
30,Yes,Travel_Frequently,334,Sales,26,4,Marketing,1,299,Sales Executive,6696,2,6
29,Yes,Travel_Rarely,992,Research & Development,1,3,Technical Degree,1,300,Research Scientist,2058,2,6
45,No,Non-Travel,1052,Sales,6,3,Medical,1,302,Sales Executive,8865,3,19
54,No,Travel_Rarely,1147,Sales,3,3,Marketing,1,303,Sales Executive,5940,3,6
36,No,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,1,304,Laboratory Technician,5914,4,13
33,No,Travel_Rarely,147,Research & Development,4,4,Medical,1,305,Research Scientist,2622,3,3
37,No,Travel_Frequently,663,Research & Development,11,3,Other,1,306,Research Director,12185,3,10
38,No,Travel_Rarely,119,Sales,3,3,Life Sciences,1,307,Sales Executive,10609,2,16
31,No,Non-Travel,979,Research & Development,1,4,Medical,1,308,Manufacturing Director,4345,3,5
59,No,Travel_Rarely,142,Research & Development,3,3,Life Sciences,1,309,Research Scientist,2177,3,1
37,No,Travel_Frequently,319,Sales,4,4,Marketing,1,311,Sales Representative,2793,3,9
29,No,Travel_Frequently,1413,Sales,1,1,Medical,1,312,Sales Executive,7918,3,11
35,No,Travel_Frequently,944,Sales,1,3,Marketing,1,314,Sales Executive,8789,4,10
29,Yes,Travel_Rarely,896,Research & Development,18,1,Medical,1,315,Research Scientist,2389,2,4
52,No,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,1,316,Laboratory Technician,3212,2,2
42,No,Travel_Rarely,532,Research & Development,4,2,Technical Degree,1,319,Manager,19232,3,22
59,No,Travel_Rarely,818,Human Resources,6,2,Medical,1,321,Human Resources,2267,2,2
50,No,Travel_Rarely,854,Sales,1,4,Medical,1,323,Manager,19517,2,7
33,Yes,Travel_Rarely,813,Research & Development,14,3,Medical,1,325,Laboratory Technician,2436,1,5
43,No,Travel_Rarely,1034,Sales,16,3,Marketing,1,327,Manager,16064,3,17
33,Yes,Travel_Rarely,465,Research & Development,2,2,Life Sciences,1,328,Laboratory Technician,2707,4,9
52,No,Non-Travel,771,Sales,2,4,Life Sciences,1,329,Manager,19068,4,33
32,No,Travel_Rarely,1401,Sales,4,2,Life Sciences,1,330,Sales Representative,3931,3,4
32,Yes,Travel_Rarely,515,Research & Development,1,3,Life Sciences,1,331,Laboratory Technician,3730,1,3
39,No,Travel_Rarely,1431,Research & Development,1,4,Medical,1,332,Laboratory Technician,2232,3,3
32,No,Non-Travel,976,Sales,26,4,Marketing,1,333,Sales Executive,4465,3,3
41,No,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,1,334,Research Scientist,3072,2,1
40,No,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,335,Research Scientist,3319,3,9
45,No,Travel_Rarely,252,Research & Development,1,3,Other,1,336,Manager,19202,3,24
31,No,Travel_Frequently,1327,Research & Development,3,4,Medical,1,337,Research Director,13675,3,2
33,No,Travel_Rarely,832,Research & Development,5,4,Life Sciences,1,338,Research Scientist,2911,2,2
34,No,Travel_Rarely,470,Research & Development,2,4,Life Sciences,1,339,Manufacturing Director,5957,3,11
37,No,Travel_Rarely,1017,Research & Development,1,2,Medical,1,340,Research Scientist,3920,2,3
45,No,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,1,341,Manufacturing Director,6434,3,3
37,Yes,Travel_Frequently,504,Research & Development,10,3,Medical,1,342,Manufacturing Director,10048,3,1
39,No,Travel_Frequently,505,Research & Development,2,4,Technical Degree,1,343,Healthcare Representative,10938,3,19
29,No,Travel_Rarely,665,Research & Development,15,3,Life Sciences,1,346,Research Scientist,2340,3,6
42,No,Travel_Rarely,916,Research & Development,17,2,Life Sciences,1,347,Research Scientist,6545,3,3
29,No,Travel_Rarely,1247,Sales,20,2,Marketing,1,349,Sales Executive,6931,3,3
25,No,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,350,Manufacturing Director,4898,3,4
42,No,Travel_Rarely,269,Research & Development,2,3,Medical,1,351,Laboratory Technician,2593,3,9
40,No,Travel_Rarely,1416,Research & Development,2,2,Medical,1,352,Research Director,19436,3,21
51,No,Travel_Rarely,833,Research & Development,1,3,Life Sciences,1,353,Research Scientist,2723,2,1
31,Yes,Travel_Frequently,307,Research & Development,29,2,Medical,1,355,Laboratory Technician,3479,4,5
32,No,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,1,359,Laboratory Technician,2794,1,5
38,No,Non-Travel,1327,Sales,2,2,Life Sciences,1,361,Sales Executive,5249,3,8
32,No,Travel_Rarely,128,Research & Development,2,1,Technical Degree,1,362,Laboratory Technician,2176,3,6
46,No,Travel_Rarely,488,Sales,2,3,Technical Degree,1,363,Manager,16872,2,7
28,Yes,Travel_Rarely,529,Research & Development,2,4,Life Sciences,1,364,Laboratory Technician,3485,1,0
29,No,Travel_Rarely,1210,Sales,2,3,Medical,1,366,Sales Executive,6644,3,0
31,No,Travel_Rarely,1463,Research & Development,23,3,Medical,1,367,Healthcare Representative,5582,3,9
25,No,Non-Travel,675,Research & Development,5,2,Life Sciences,1,369,Healthcare Representative,4000,3,6
45,No,Travel_Rarely,1385,Research & Development,20,2,Medical,1,372,Healthcare Representative,13496,3,20
36,No,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,1,373,Laboratory Technician,3210,3,15
55,No,Travel_Rarely,452,Research & Development,1,3,Medical,1,374,Manager,19045,3,36
47,Yes,Non-Travel,666,Research & Development,29,4,Life Sciences,1,376,Manager,11849,2,10
28,No,Travel_Rarely,1158,Research & Development,9,3,Medical,1,377,Research Scientist,2070,2,5
37,No,Travel_Rarely,228,Sales,6,4,Medical,1,378,Sales Executive,6502,4,5
21,No,Travel_Rarely,996,Research & Development,3,2,Medical,1,379,Research Scientist,3230,4,3
37,No,Non-Travel,728,Research & Development,1,4,Medical,1,380,Research Director,13603,3,5
35,No,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,1,381,Manager,11996,2,7
38,No,Travel_Rarely,322,Sales,7,2,Medical,1,382,Sales Executive,5605,3,8
26,No,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,384,Manufacturing Director,6397,1,6
50,No,Travel_Rarely,797,Research & Development,4,1,Life Sciences,1,385,Research Director,19144,2,10
53,No,Travel_Rarely,1070,Research & Development,3,4,Medical,1,386,Research Director,17584,2,5
42,No,Travel_Rarely,635,Sales,1,1,Life Sciences,1,387,Sales Executive,4907,3,20
